dataset,image,psnr_db,ssim,rmse
LC25000,lungaca294.jpeg,16.75540533224674,0.9248525896728105,37.04843897415558
LC25000,lungaca20.jpeg,16.224892435801742,0.8973932280903373,39.3817996693952
LC25000,lungaca142.jpeg,16.35853081617459,0.8886025414457549,38.780521024959675
LC25000,lungaca300.jpeg,15.718978033371332,0.7852493279267264,41.74373250225648
LC25000,lungaca259.jpeg,15.617118877494935,0.8518301453261611,42.236141536129814
LC25000,lungaca275.jpeg,17.107819046518763,0.8467900851456757,35.57535381914137
LC25000,lungaca490.jpeg,17.014339958067932,0.8911893824826089,35.96028976059033
LC25000,lungaca258.jpeg,17.443547297095,0.8965703233780222,34.226525620993534
LC25000,lungaca479.jpeg,16.76241298582854,0.8525368153282796,37.018560868963235
LC25000,lungaca306.jpeg,15.977898121779454,0.8992721913738299,40.51774569801174
LC25000,lungaca132.jpeg,15.848126106417922,0.912939308938539,41.12764811769261
LC25000,lungaca280.jpeg,16.97458483619203,0.9056588684918699,36.12525643591702
LC25000,lungaca329.jpeg,16.57123838396901,0.9198266926409114,37.84236421132362
LC25000,lungaca140.jpeg,16.46838338585637,0.8868601490892045,38.29314278723141
LC25000,lungaca198.jpeg,16.105348154119802,0.8838291865223663,39.92756016089888
LC25000,lungaca487.jpeg,17.66397013781255,0.9257876477677902,33.36888333415357
LC25000,lungaca467.jpeg,16.807692208739613,0.9331633564195707,36.826086590533826
LC25000,lungaca102.jpeg,15.450513806957925,0.7859551502004593,43.05409751036692
LC25000,lungaca76.jpeg,17.020942911472808,0.9011479452426642,35.93296338427424
LC25000,lungaca497.jpeg,16.156338826529115,0.9129028929183228,39.693851362999816
LC25000,lungaca390.jpeg,17.441854337886706,0.9300389373936744,34.23319733355469
LC25000,lungaca173.jpeg,15.840392711824219,0.8275404555648991,41.16428201197684
LC25000,lungaca200.jpeg,16.742356144227497,0.8424650425237309,37.10414027863352
LC25000,lungaca145.jpeg,17.45807461632681,0.8830153862888359,34.169328936308986
LC25000,lungaca206.jpeg,17.586460792648833,0.8791502369491685,33.66798622390646
LC25000,lungaca378.jpeg,17.133749293449483,0.8442940520211518,35.46930801766747
LC25000,lungaca36.jpeg,16.0710140742095,0.8602108696055449,40.08570044479151
LC25000,lungaca367.jpeg,15.899328067138965,0.9046516037787109,40.88592023945677
LC25000,lungaca235.jpeg,14.21264213992316,0.8696010326531027,49.64872195072338
LC25000,lungaca66.jpeg,16.46171277874515,0.8763186783228408,38.322562528034275
LC25000,lungaca26.jpeg,16.42935117122258,0.8527629045739271,38.46560981072906
LC25000,lungaca466.jpeg,17.32235519386734,0.8951156388121273,34.70742714848766
LC25000,lungaca93.jpeg,16.50880284801915,0.9164161895951274,38.11536105240749
LC25000,lungaca389.jpeg,16.580759604777082,0.8719753689141445,37.80090523423954
LC25000,lungaca248.jpeg,16.092919341061314,0.8949077336769444,39.98473420061218
LC25000,lungaca327.jpeg,16.037761540604624,0.920753627307033,40.239456238440184
LC25000,lungaca411.jpeg,14.780739261271288,0.83534135727415,46.505382139769985
LC25000,lungaca205.jpeg,15.282024560482617,0.9105932293995936,43.89741559046819
LC25000,lungaca463.jpeg,16.361594634384357,0.8953785316056714,38.76684418602379
LC25000,lungaca472.jpeg,16.53502363257115,0.8736550402598601,38.00047268489849
LC25000,lungaca153.jpeg,15.085834988852557,0.832345178898296,44.900216076167425
LC25000,lungaca172.jpeg,17.10577883121204,0.8654554633551063,35.583711040952934
